text,p,start,end,type,description
1930,1,0,4,DATE,Absolute or relative dates or periods
"Wednesday, September 24,1930",3,0,28,DATE,Absolute or relative dates or periods
Theron Damon,4,43,55,PERSON,"People, including fictional"
Constantinople,4,61,75,GPE,"Countries, cities, states"
New England,6,3,14,LOC,"Non-GPE locations, mountain ranges, bodies of water"
"Thursday, September 25,1930",8,0,27,DATE,Absolute or relative dates or periods
Naima Löfroth,9,0,13,PERSON,"People, including fictional"
Sweden,9,38,44,GPE,"Countries, cities, states"
"Sunday, September 28,1930",10,0,25,DATE,Absolute or relative dates or periods
Lanier,11,5,11,PERSON,"People, including fictional"
Allyn Cox,11,29,38,PERSON,"People, including fictional"
Venice,11,52,58,GPE,"Countries, cities, states"
3 year s ago,11,117,129,DATE,Absolute or relative dates or periods
1930,1,0,4,DATE,Absolute or relative dates or periods
Allyn Cox,4,0,9,PERSON,"People, including fictional"
Jill Cox,6,0,8,PERSON,"People, including fictional"
1930,1,0,4,DATE,Absolute or relative dates or periods
"Monday, September 30,1930",5,0,25,DATE,Absolute or relative dates or periods
Lanier,6,5,11,PERSON,"People, including fictional"
Jim,6,36,39,PERSON,"People, including fictional"
Paul Frerejean,6,68,82,PERSON,"People, including fictional"
Dame,6,96,100,NORP,Nationalities or religious or political groups
Blücher-Altona,6,111,125,PERSON,"People, including fictional"
Lanier,6,139,145,PERSON,"People, including fictional"
Provence,6,257,265,GPE,"Countries, cities, states"
Les Beaux,6,271,280,FAC,"Buildings, airports, highways, bridges, etc."
Frerejean,6,330,339,PERSON,"People, including fictional"
Edith Wharton,8,6,19,PERSON,"People, including fictional"
Gilliard Lapsley,8,24,40,PERSON,"People, including fictional"
Salsomaggiore,8,63,76,GPE,"Countries, cities, states"
two,8,83,86,CARDINAL,Numerals that do not fall under another type
Pekinese,8,87,95,NORP,Nationalities or religious or political groups
1930,1,0,4,DATE,Absolute or relative dates or periods
"Wednesday, October 1,1930",2,0,25,DATE,Absolute or relative dates or periods
Ruth Wolf,3,0,9,PERSON,"People, including fictional"
a Graf Erbach Fürstenan,3,123,146,PERSON,"People, including fictional"
Tintoretto,3,202,212,PERSON,"People, including fictional"
Manuscripts of the XIII Century,3,227,258,WORK_OF_ART,"Titles of books, songs, etc."
the evening,4,3,14,TIME,Times smaller than a day
Cecil Pinsent,4,15,28,PERSON,"People, including fictional"
Ruth Draper,4,33,44,PERSON,"People, including fictional"
Three,5,26,31,CARDINAL,Numerals that do not fall under another type
Lanier,5,213,219,PERSON,"People, including fictional"
1930,1,0,4,DATE,Absolute or relative dates or periods
"Thursday, October 2,1930",2,0,24,DATE,Absolute or relative dates or periods
Lanier,3,5,11,PERSON,"People, including fictional"
Pinches,3,21,28,PERSON,"People, including fictional"
the morning,3,38,49,TIME,Times smaller than a day
Kenneth,3,51,58,PERSON,"People, including fictional"
Jane Clark,3,63,73,PERSON,"People, including fictional"
the day,3,80,87,DATE,Absolute or relative dates or periods
the Allys Coxes,3,128,143,PERSON,"People, including fictional"
Murphy,3,185,191,PERSON,"People, including fictional"
Geoffrey,3,193,201,PERSON,"People, including fictional"
American,3,233,241,NORP,Nationalities or religious or political groups
W. Hunt,3,251,258,PERSON,"People, including fictional"
BB,3,320,322,ORG,"Companies, agencies, institutions, etc."
"Friday, October 3,1930",4,0,22,DATE,Absolute or relative dates or periods
first,5,9,14,ORDINAL,"""first"", ""second"", etc."
Munari,5,45,51,GPE,"Countries, cities, states"
all day,5,116,123,DATE,Absolute or relative dates or periods
Logan,5,125,130,PERSON,"People, including fictional"
5,5,142,143,TIME,Times smaller than a day
"Saturday, October 4,1930",6,0,24,DATE,Absolute or relative dates or periods
Osten-Sachen,7,9,21,PERSON,"People, including fictional"
the morning,7,33,44,TIME,Times smaller than a day
Logan,7,107,112,PERSON,"People, including fictional"
Wharton,7,122,129,PERSON,"People, including fictional"
1930,1,0,4,DATE,Absolute or relative dates or periods
English,2,0,7,LANGUAGE,Any named language
the afternoon,3,3,16,TIME,Times smaller than a day
Logan,3,17,22,PERSON,"People, including fictional"
Santayana,3,50,59,PERSON,"People, including fictional"
Lapsley,3,65,72,PERSON,"People, including fictional"
High Churchman,4,25,39,PERSON,"People, including fictional"
Santayana,4,41,50,PERSON,"People, including fictional"
Harvard,4,72,79,ORG,"Companies, agencies, institutions, etc."
Logan,5,9,14,PERSON,"People, including fictional"
one,6,0,3,CARDINAL,Numerals that do not fall under another type
Santayana,6,30,39,PERSON,"People, including fictional"
"Saturday [sic], October 5,1930",7,0,30,DATE,Absolute or relative dates or periods
Ugo Ojetti,8,0,10,PERSON,"People, including fictional"
the afternoon,9,3,16,TIME,Times smaller than a day
George Keppel,9,38,51,PERSON,"People, including fictional"
Cowley,9,58,64,PERSON,"People, including fictional"
Ruby Lindsay,9,71,83,PERSON,"People, including fictional"
Jean Gaigneron,9,89,103,PERSON,"People, including fictional"
Trefusis,9,110,118,PERSON,"People, including fictional"
Allyn Cox,9,133,142,PERSON,"People, including fictional"
Keppel,9,149,155,PERSON,"People, including fictional"
Arthur Colefax,9,204,218,PERSON,"People, including fictional"
1930,1,0,4,DATE,Absolute or relative dates or periods
Logan,2,0,5,PERSON,"People, including fictional"
Cowley,2,16,22,PERSON,"People, including fictional"
Lindsay,2,45,52,PERSON,"People, including fictional"
M. Gaigneron,2,91,103,PERSON,"People, including fictional"
"Sunday, October 5,1930",3,0,22,DATE,Absolute or relative dates or periods
"Monday, October 6,1930",5,0,22,DATE,Absolute or relative dates or periods
Carlo Placci,6,0,12,PERSON,"People, including fictional"
summer,6,94,100,DATE,Absolute or relative dates or periods
"Tuesday, October 7,1930",7,0,23,DATE,Absolute or relative dates or periods
BB,8,0,2,PERSON,"People, including fictional"
Edith,8,7,12,PERSON,"People, including fictional"
Torre Acona,8,27,38,FAC,"Buildings, airports, highways, bridges, etc."
Contessa Padova,8,86,101,PERSON,"People, including fictional"
Maria Papafava,8,124,138,PERSON,"People, including fictional"
Pasolini,8,140,148,PERSON,"People, including fictional"
Tenente Gioia,8,174,187,PERSON,"People, including fictional"
Osten-Sachen,9,9,21,PERSON,"People, including fictional"
"Wednesday, October 8,1930",10,0,25,DATE,Absolute or relative dates or periods
Edith,11,0,5,PERSON,"People, including fictional"
Nicky,11,7,12,PERSON,"People, including fictional"
BB,11,17,19,PERSON,"People, including fictional"
La Foce,11,31,38,ORG,"Companies, agencies, institutions, etc."
Montepulciano,11,53,66,PERSON,"People, including fictional"
John Brown,12,0,10,PERSON,"People, including fictional"
Zurich,12,16,22,GPE,"Countries, cities, states"
Library,12,57,64,FAC,"Buildings, airports, highways, bridges, etc."
1930,1,0,4,DATE,Absolute or relative dates or periods
"Friday, October 10, 1930",2,0,24,DATE,Absolute or relative dates or periods
Robert,3,4,10,PERSON,"People, including fictional"
Crey,3,20,24,PERSON,"People, including fictional"
De Wett Verner,3,70,84,PERSON,"People, including fictional"
Eva Mc Laren,3,125,137,PERSON,"People, including fictional"
Paris,3,199,204,GPE,"Countries, cities, states"
BB,4,0,2,ORG,"Companies, agencies, institutions, etc."
Edith,4,7,12,PERSON,"People, including fictional"
Nicky,4,17,22,PERSON,"People, including fictional"
"Saturday, October 11,1930",5,0,25,DATE,Absolute or relative dates or periods
Carlo Placci,6,11,23,PERSON,"People, including fictional"
Munari,6,33,39,PERSON,"People, including fictional"
2 days,6,86,92,DATE,Absolute or relative dates or periods
the afternoon,6,97,110,TIME,Times smaller than a day
Logan,6,111,116,PERSON,"People, including fictional"
